chw_id,parent_id,with_errors,total_assessments,percent_without_errors
8dd712b6-a0ca-4474-8c70-37076d02dab2,74a7f78eef4f8baa9de4e11cd2a4c032,312,362,13.81
db91e797f2ce030419456e90ab7b2209,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,19,36,47.22
db91e797f2ce030419456e90ab79eba0,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,60,99,39.39
1500ff3c081cc72da0df8d2a57c898e2,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,25,34,26.47
db91e797f2ce030419456e90ab77e352,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,59,81,27.16
45004038-1df7-4741-a240-2c508430a161,ea26c9e0-2072-43e9-96f0-73186bc9a8f6,207,246,15.85
b458d09e-d6b5-418e-a2df-ba4fe32de3b3,e9569da9-5c83-4c78-af42-38f53660b3da,109,151,27.81
75feff31-d569-469d-a626-4e8d5fc028c9,da6837ba-a84c-4836-91b2-c4366733b6cf,142,236,39.83
fda753c1c37ef32fba0138a4c7c2b20c,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,30,50,40.00
fda753c1c37ef32fba0138a4c7868553,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,160,192,16.67
be2bd6ac-edb3-4589-a2f6-592dbe0d8218,74a7f78eef4f8baa9de4e11cd2a4c032,232,254,8.66
5410fe0e-ea9c-4c25-9657-10a33f1ee26f,5957af84-cc24-4cd1-96f2-9ba17f8b30cd,284,502,43.43
db91e797f2ce030419456e90ab78b185,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,40,85,52.94
2d03fb1f-a994-44d4-92c9-68ca46d88189,4b7de1fb-966c-4b31-b73f-cd956a9a6493,52,88,40.91
fda753c1c37ef32fba0138a4c7857deb,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,4,10,60.00
fda753c1c37ef32fba0138a4c7c124a8,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,25,30,16.67
3f0fce86e571a1275c338749fb1c8031,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,50,56,10.71
a98269e5-afcc-4a0a-b1a0-c93f0ce9b559,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,2,3,33.33
acb90736-1597-433c-98e4-7331e9fe419f,24c52d1d-26fb-419f-8560-2eef90aaf36d,167,230,27.39
db91e797f2ce030419456e90ab7946a9,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,23,54,57.41
acafb388-84ef-4d36-92b2-6c9af8cf1ffe,dd90454e-24c3-41c4-a21b-f1d894df3774,178,252,29.37
a74e5538-2294-467a-8906-0826353c3091,c5313c74-cfa3-41c7-ba99-468d9e3c84ee,139,155,10.32
c92915b9-fc75-4c4c-909f-3286c2101428,d92c0716-4220-429f-8ad1-1d8ee58300f6,27,99,72.73
36bbde76d9ed4f26c633d5c9600e16a8,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,35,104,66.35
db91e797f2ce030419456e90ab797aa3,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,36,54,33.33
fda753c1c37ef32fba0138a4c7c23582,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,12,25,52.00
13062353-96f7-44ca-9589-eca4f4cba4e3,74a7f78eef4f8baa9de4e11cd2a4c032,51,84,39.29
3f0fce86e571a1275c338749fb1c755e,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,29,47,38.30
db91e797f2ce030419456e90ab7914d5,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,57,76,25.00
a69561d2-7680-4695-9be4-6a8dad7e6e55,7c832401-60e5-4f80-860b-e2855635c77d,183,214,14.49
350ab571-e957-43be-bc49-a466271b7ba1,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,2,5,60.00
d2cadefc-7f02-4f74-b57b-d58449de504e,4b16cb50-cee3-4683-813d-8971ff0b2854,114,223,48.88
fb94ccad-4f19-4ab1-803b-942a722adeb2,ee887069-9938-4b18-badb-ae23b134c9cb,93,159,41.51
938c4998-c783-41e6-8b99-c78c4c388936,c51daee6-0615-4300-b32d-f6a1d6d6b0f7,132,170,22.35
b87d1fcf-898c-4d80-9824-7da53f00a3ae,4b7de1fb-966c-4b31-b73f-cd956a9a6493,246,365,32.60
35e2ca64-4cb1-4175-83e0-299c048047e6,6dc56f05-c746-434f-94c3-d9180f45282c,73,124,41.13
fda753c1c37ef32fba0138a4c7c1c250,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,41,95,56.84
555e4256-496e-4081-9d55-47302963aab8,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,16,22,27.27
a3f64752-f494-4d66-af78-a3da17d15178,9c655c51-7bc4-43be-8160-47368e6eaae6,102,118,13.56
e18f2467-db44-47f2-afc3-8f109ffa95c6,b16985ff-7875-4ae7-8633-c15b01ed00e2,143,230,37.83
99dc9d85-cd57-4fb3-9cb5-44c2c6580380,c2537b278a592a34ea80d2e77559766e,137,140,2.14
e42ef32c-3828-4f21-a6e8-22cc3c228dc2,051b10ff-0d1d-466c-b7c8-3fb9247c2f7f,49,53,7.55
fda753c1c37ef32fba0138a4c7c25f69,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,28,39,28.21
e8e016c6-e301-4dd9-870a-8de3c86ac7e4,74a7f78eef4f8baa9de4e11cd28466c6,108,134,19.40
fda753c1c37ef32fba0138a4c7c40c65,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,25,46,45.65
3f0fce86e571a1275c338749fb1be2a7,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,68,85,20.00
6af19842-1ab6-4851-a8ff-63f32325f4b8,4b7de1fb-966c-4b31-b73f-cd956a9a6493,233,328,28.96
fda753c1c37ef32fba0138a4c7c44b56,fc9f1944-d59d-4a20-bafa-e6fb7b50255a,55,74,25.68
